x,y,z,l,w,h,r
1.63,1.67,3.92,-4.09,1.25,25.87,-1.57
1.56,1.69,3.63,-4.85,1.15,38.13,-1.58
1.61,1.66,3.2,0.45,1.7,19.92,-1.54
1.36,1.69,3.38,-1.14,1.55,27.49,-1.61
1.38,1.55,3.89,-6.58,1.59,7.45,0.65
1.3,1.55,3.51,-2.45,1.65,6.91,-1.57
1.43,1.62,3.76,-2.44,1.63,11.91,-1.58
1.57,1.67,4.2,-6.6,1.71,17.78,0.63
1.39,1.6,4.25,-7.21,1.63,28.46,0.59
1.38,1.74,4.09,-6.78,1.6,38.48,-2.4
1.45,1.64,3.7,2.16,1.55,21.93,-1.57
1.39,1.54,3.86,1.86,1.51,31.24,-1.62
1.43,1.73,4.09,-15.53,1.7,27.7,1.55
1.52,1.67,3.61,-1.77,1.6,38.22,-1.58
1.6,1.66,3.55,-0.17,1.58,34.93,-1.57
1.65,1.67,3.64,-1.0,2.03,47.42,-1.59
1.54,1.63,3.67,2.21,1.88,48.74,-1.33
1.56,1.59,3.69,-6.75,2.06,30.6,1.74
1.93,1.59,4.01,-6.14,2.08,35.48,1.72
1.58,1.67,3.84,4.01,1.71,39.16,-1.52
1.39,1.51,3.49,19.2,0.9,29.33,-3.04
1.44,1.56,3.76,2.88,1.77,5.94,-1.61
1.53,1.56,3.68,2.67,1.8,11.2,-1.62
1.48,1.54,4.05,-2.74,1.8,13.62,-1.6
1.48,1.67,4.3,-2.78,1.92,24.62,1.54
1.46,1.54,3.62,2.64,1.86,34.06,-1.57
1.52,1.57,4.42,-2.71,2.04,51.49,1.56
1.91,1.65,4.4,-2.45,1.08,31.59,-1.72
1.66,1.73,3.05,0.19,1.68,8.57,-1.57
1.44,1.59,3.62,-11.15,1.77,14.11,1.56
1.6,1.75,4.0,-11.38,1.94,34.31,1.58
1.58,1.63,4.31,-11.6,1.96,48.85,1.58
1.65,1.67,3.64,-1.04,2.08,47.31,-1.59
1.45,1.62,3.83,-2.32,1.77,12.0,1.6
1.43,1.66,3.67,-0.8,1.73,28.78,1.65
1.67,1.87,3.69,-16.96,2.44,27.88,1.58
1.63,1.78,4.13,-13.2,2.25,70.65,1.58
1.5,1.59,3.6,-6.82,1.08,18.85,1.2
1.36,1.57,4.06,-9.16,0.91,28.22,1.33
1.5,1.7,4.45,-19.52,0.51,65.68,-2.57
1.49,1.63,3.68,-5.87,1.77,6.24,1.55
1.41,1.57,3.53,-5.42,1.81,30.49,1.22
1.47,1.72,4.22,-3.1,1.76,48.76,2.55
1.42,1.71,4.14,-12.19,1.98,37.94,0.49
1.61,1.87,3.69,-15.18,1.9,23.26,1.34
1.48,1.87,4.74,4.59,1.62,52.31,2.8
2.01,1.89,4.91,-8.42,1.85,9.15,0.9
1.52,1.51,3.1,-12.19,2.07,25.0,-2.23
1.53,1.58,3.53,-15.25,2.19,28.66,-2.24
1.46,1.6,3.71,-22.9,2.37,39.43,-2.1
1.57,1.72,3.52,-8.49,1.98,19.92,-2.2
1.49,1.58,3.84,-11.13,1.56,17.94,1.69
1.54,1.57,3.52,3.24,1.58,1.63,-1.45
1.5,1.63,3.57,3.41,1.48,6.65,-1.57
1.47,1.59,3.64,3.39,1.47,12.57,-1.52
1.49,1.74,4.09,3.43,1.45,18.01,-1.53
1.48,1.71,4.05,3.73,1.37,24.5,-1.52
1.44,1.58,3.28,3.35,1.25,29.26,-1.55
1.4,1.54,4.5,-3.09,0.82,59.2,1.62
1.6,1.76,3.84,-0.64,1.28,30.9,-1.59
1.64,1.72,4.24,-3.15,1.61,4.9,-1.58
1.45,1.61,3.72,-7.83,1.59,9.09,-1.57
1.65,1.66,3.96,-8.05,1.42,21.36,-1.58
1.48,1.64,3.81,-3.84,1.44,18.73,-1.56
1.44,1.71,3.78,-7.84,1.32,28.19,-1.58
1.37,1.61,4.21,-3.69,1.31,31.02,-1.56
1.45,1.64,3.86,-8.01,1.15,46.14,-1.58
1.5,1.55,3.99,-12.18,1.54,16.6,-1.57
1.46,1.51,3.83,-12.38,1.43,23.53,-1.58
1.54,1.63,3.67,-0.42,1.77,50.98,-1.58
1.45,1.59,3.59,-3.12,1.72,27.22,1.57
1.48,1.47,3.7,2.98,1.64,9.09,-1.6
1.64,1.64,3.89,2.74,1.71,13.63,-1.6
1.69,1.39,2.65,2.66,1.71,17.54,-1.65
1.5,1.59,3.79,2.59,1.69,27.17,-1.61
1.49,1.57,4.07,2.41,1.73,42.47,-1.56
1.57,1.59,3.75,2.56,1.75,32.29,-1.58
1.52,1.51,3.94,-12.5,2.2,47.06,-0.06
1.58,1.56,4.24,-17.99,2.26,46.96,0.01
1.46,1.63,4.47,-2.61,1.67,13.57,1.53
1.7,1.82,4.45,-2.36,1.63,24.91,1.65
1.57,1.56,2.62,2.83,1.53,39.36,-0.97
1.63,1.81,4.54,-2.09,1.7,10.94,-1.53
1.47,1.54,3.02,3.65,1.56,7.2,-1.3
1.42,1.58,4.08,-5.22,1.71,11.26,1.54
1.5,1.52,4.12,6.49,1.55,12.24,-0.76
1.86,1.57,3.83,-5.46,1.8,7.33,1.53
1.74,1.71,4.41,-4.59,1.69,5.11,1.54
1.41,1.72,4.41,-5.1,1.98,13.67,1.47
1.62,1.75,4.3,-5.85,2.15,22.53,1.51
1.56,1.65,3.69,-0.14,1.9,20.44,-1.56
1.29,1.57,4.38,-11.15,2.25,43.52,1.59
1.4,1.54,3.67,-11.34,2.54,64.76,1.57
1.53,1.57,3.54,3.83,2.12,66.92,-0.75
1.36,1.69,3.38,0.28,2.08,17.74,-1.58
1.59,1.72,3.86,-11.46,2.22,18.6,1.58
1.59,1.63,3.64,-4.95,2.11,19.92,-2.41
1.41,1.64,3.61,-5.06,2.23,23.01,-2.55
1.39,1.61,4.09,-4.78,2.27,26.19,-2.48
1.5,1.57,3.54,-4.46,2.53,33.47,-2.4
1.4,1.6,3.55,-4.44,2.67,46.89,-2.47
1.36,1.63,4.02,3.64,2.35,28.57,-1.57
1.52,1.67,3.61,-0.23,2.38,30.44,-1.56
1.47,1.77,4.25,-14.75,2.48,38.64,1.63
1.47,1.62,3.79,-3.49,1.8,8.89,1.59
1.7,1.53,3.82,-3.41,1.66,24.89,1.59
1.5,1.53,3.38,-3.15,1.49,35.59,1.56
1.56,1.56,3.6,-2.2,1.29,50.36,1.85
1.65,1.67,3.64,-0.79,2.19,34.18,-1.6
1.53,1.46,4.18,-8.21,1.84,9.42,1.55
1.59,1.57,3.39,-8.41,2.04,20.7,1.55
1.35,1.63,4.1,-8.56,2.17,33.8,1.55
1.47,1.6,4.41,-2.75,1.63,1.47,-1.63
1.46,1.68,4.1,-2.76,1.7,6.32,-1.54
1.49,1.64,4.17,2.39,1.56,19.97,-1.62
1.41,1.56,3.97,2.41,1.56,4.13,-1.61
1.44,1.65,4.25,-3.38,1.68,11.08,-1.61
1.6,1.75,3.89,-3.01,1.75,33.43,-1.63
1.59,1.64,4.03,2.23,1.59,32.29,-1.64
1.83,1.75,4.52,1.98,1.57,49.6,-1.55
1.49,1.66,4.16,5.38,1.55,3.25,-0.03
1.85,1.68,4.34,4.76,1.58,8.16,3.08
1.43,1.56,3.85,-7.05,1.81,9.9,3.1
1.42,1.62,3.5,-7.53,1.84,17.02,3.03
1.41,1.54,3.6,-7.91,1.88,29.01,3.06
1.26,1.6,3.56,-1.27,2.15,73.9,-1.6
1.61,1.66,3.2,0.1,1.7,20.74,-1.54
1.48,1.61,3.39,-13.87,1.87,32.34,1.56
1.44,1.79,4.32,-16.75,1.95,34.25,1.58
1.6,1.78,3.86,-13.98,1.87,48.05,1.6
1.65,1.77,3.85,-16.72,1.93,50.1,1.59
1.58,1.82,3.87,-14.06,1.95,70.54,1.6
1.32,1.48,4.44,6.58,1.39,53.95,-1.34
1.45,1.59,3.44,2.01,1.47,23.18,-1.23
1.51,1.61,4.31,-2.4,1.65,21.07,-1.25
1.44,1.35,3.23,-7.5,1.97,37.99,1.72
1.46,1.37,3.45,-5.36,2.07,56.31,1.64
